offset,name,type
6837,autocvar_g_waypoints_for_items,float
6838,bot_waypoints_for_items,float
6845,bot_custom_weapon,float
7062,skill,float
7086,havocbot_middlepoint,vector
7089,havocbot_middlepoint_radius,float
7090,havocbot_symmetry_axis_m,float
7091,havocbot_symmetry_axis_q,float
7092,havocbot_symmetry_origin_order,float
7093,bots_would_leave,float
7094,player_count,float
7095,currentbots,float
17485,autocvar_bot_ai_aimskill_blendrate,float
17486,autocvar_bot_ai_aimskill_firetolerance,float
17487,autocvar_bot_ai_aimskill_fixedrate,float
17488,autocvar_bot_ai_aimskill_mouse,float
17489,autocvar_bot_ai_aimskill_offset,float
17490,autocvar_bot_ai_aimskill_order_filter_1st,float
17491,autocvar_bot_ai_aimskill_order_filter_2nd,float
17492,autocvar_bot_ai_aimskill_order_filter_3th,float
17493,autocvar_bot_ai_aimskill_order_filter_4th,float
17494,autocvar_bot_ai_aimskill_order_filter_5th,float
17495,autocvar_bot_ai_aimskill_order_mix_1st,float
17496,autocvar_bot_ai_aimskill_order_mix_2nd,float
17497,autocvar_bot_ai_aimskill_order_mix_3th,float
17498,autocvar_bot_ai_aimskill_order_mix_4th,float
17499,autocvar_bot_ai_aimskill_order_mix_5th,float
17500,autocvar_bot_ai_aimskill_think,float
17501,autocvar_bot_ai_bunnyhop_skilloffset,float
17502,autocvar_bot_ai_bunnyhop_dir_deviation_max,float
17503,autocvar_bot_ai_bunnyhop_downward_pitch_max,float
17504,autocvar_bot_ai_bunnyhop_turn_angle_min,float
17505,autocvar_bot_ai_bunnyhop_turn_angle_max,float
17506,autocvar_bot_ai_bunnyhop_turn_angle_reduction,float
17507,autocvar_bot_ai_chooseweaponinterval,float
17508,autocvar_bot_ai_custom_weapon_priority_close,string
17509,autocvar_bot_ai_custom_weapon_priority_distances,string
17510,autocvar_bot_ai_custom_weapon_priority_far,string
17511,autocvar_bot_ai_custom_weapon_priority_mid,string
17512,autocvar_bot_ai_dangerdetectioninterval,float
17513,autocvar_bot_ai_dangerdetectionupdates,float
17514,autocvar_bot_ai_enemydetectioninterval,float
17515,autocvar_bot_ai_enemydetectioninterval_stickingtoenemy,float
17516,autocvar_bot_ai_enemydetectionradius,float
17517,autocvar_bot_ai_friends_aware_pickup_radius,float
17518,autocvar_bot_ai_ignoregoal_timeout,float
17519,autocvar_bot_ai_keyboard_distance,float
17520,autocvar_bot_ai_keyboard_threshold,float
17521,autocvar_bot_ai_navigation_jetpack,float
17522,autocvar_bot_ai_navigation_jetpack_mindistance,float
17523,autocvar_bot_ai_thinkinterval,float
17524,autocvar_bot_ai_weapon_combo,float
17525,autocvar_bot_ai_weapon_combo_threshold,float
17526,autocvar_bot_ai_timeitems,float
17527,autocvar_bot_ai_timeitems_minrespawndelay,float
17528,autocvar_bot_config_file,string
17529,autocvar_bot_god,float
17530,autocvar_bot_ignore_bots,float
17531,autocvar_bot_join_empty,float
17532,autocvar_bot_navigation_ignoreplayers,float
17533,autocvar_bot_nofire,float
17534,autocvar_bot_usemodelnames,float
17535,autocvar_bot_debug_tracewalk,float
17536,autocvar_bot_debug_goalstack,float
17537,autocvar_bot_wander_enable,float
17538,autocvar_bot_typefrag,float
17539,autocvar_g_debug_bot_commands,float
17540,autocvar_g_waypointeditor_auto,float
17541,autocvar_skill_auto,float
17542,autocvar_waypoint_benchmark,float
17543,autocvar_bot_number,float
17544,autocvar_bot_ai_strategyinterval,float
17545,autocvar_bot_ai_strategyinterval_movingtarget,float
17546,autocvar_bot_vs_human,float
17547,autocvar_minplayers,float
17548,autocvar_minplayers_per_team,float
17549,waypointeditor_enabled,float
17550,autocvar_g_waypointeditor,float
17551,autocvar_g_waypointeditor_symmetrical,float
17552,autocvar_g_waypointeditor_symmetrical_allowload,float
17553,autocvar_g_waypointeditor_symmetrical_origin,vector
17556,autocvar_g_waypointeditor_symmetrical_order,float
17557,autocvar_g_waypointeditor_symmetrical_axis,vector
17561,waypoint_version_loaded,float
17562,waypoint_time,string
17563,relink_total,float
17564,relink_walkculled,float
17565,relink_pvsculled,float
17566,relink_lengthculled,float
17567,botframe_waypointeditorlightningtime,float
17568,botframe_loadedforcedlinks,float
17569,botframe_cachedwaypointlinks,float
21566,tracetossent,entity
21567,tracetossfaketarget,entity
21568,findtrajectory_velocity,vector
21571,shotorg,vector
21574,shotdir,vector
21580,autoskill_nextthink,float
21581,bot_distance_far,float
21582,bot_distance_close,float
21583,bot_list,entity
21584,bot_strategytoken_taken,float
21585,bot_strategytoken,entity
21586,botframe_spawnedwaypoints,float
21587,botframe_nextthink,float
21588,botframe_nextdangertime,float
21589,_content_type,float
21613,navigation_bestrating,float
21614,bot_navigation_movemode,float
21615,navigation_testtracewalk,float
21616,jumpstepheightvec,vector
21619,stepheightvec,vector
21622,jumpheight_vec,vector
21625,jumpheight_time,float
21626,navigation_bestgoal,entity
21627,tracewalk_dest,vector
21630,tracewalk_dest_height,float
21634,debuglastnode,vector
21637,bot_waypoint_queue_owner,entity
21638,bot_waypoint_queue_goal,entity
21639,bot_waypoint_queue_bestgoal,entity
21640,bot_waypoint_queue_bestgoalrating,float
21663,bot_cmds_initialized,float
21664,bot_cmd_parm_type,float
21665,bot_cmd_parm_type[1],float
21666,bot_cmd_parm_type[2],float
21667,bot_cmd_parm_type[3],float
21668,bot_cmd_parm_type[4],float
21669,bot_cmd_parm_type[5],float
21670,bot_cmd_parm_type[6],float
21671,bot_cmd_parm_type[7],float
21672,bot_cmd_parm_type[8],float
21673,bot_cmd_parm_type[9],float
21674,bot_cmd_parm_type[10],float
21675,bot_cmd_parm_type[11],float
21676,bot_cmd_parm_type[12],float
21677,bot_cmd_parm_type[13],float
21678,bot_cmd_parm_type[14],float
21679,bot_cmd_parm_type[15],float
21680,bot_cmd_parm_type[16],float
21681,bot_cmd_parm_type[17],float
21682,bot_cmd_parm_type[18],float
21683,bot_cmd_parm_type[19],float
21684,bot_cmd_parm_type[20],float
21685,bot_cmd_parm_type[21],float
21686,bot_cmd_parm_type[22],float
21687,bot_cmd_parm_type[23],float
21688,bot_cmd_string,string
21689,bot_cmd_string[1],string
21690,bot_cmd_string[2],string
21691,bot_cmd_string[3],string
21692,bot_cmd_string[4],string
21693,bot_cmd_string[5],string
21694,bot_cmd_string[6],string
21695,bot_cmd_string[7],string
21696,bot_cmd_string[8],string
21697,bot_cmd_string[9],string
21698,bot_cmd_string[10],string
21699,bot_cmd_string[11],string
21700,bot_cmd_string[12],string
21701,bot_cmd_string[13],string
21702,bot_cmd_string[14],string
21703,bot_cmd_string[15],string
21704,bot_cmd_string[16],string
21705,bot_cmd_string[17],string
21706,bot_cmd_string[18],string
21707,bot_cmd_string[19],string
21708,bot_cmd_string[20],string
21709,bot_cmd_string[21],string
21710,bot_cmd_string[22],string
21711,bot_cmd_string[23],string
21712,bot_cmd,entity
21713,bot_barriertime,float
21770,start_wp_is_spawned,float
21771,start_wp_origin,vector
21774,start_wp_is_hardwired,float
21775,start_wp_is_support,float
21791,bot_batch_active,float
21792,bot_batch_staged_rows,float
21793,bot_batch_staged_total,float
21794,bot_batch_scalar_total,float
21795,bot_batch_fallback_total,float
